id_persona,nacionalidad,autoidentificacion_etnica,estatus_migratorio,numero_detenciones,estado_civil,nivel_de_instruccion,genero,edad,sexo,Sexo
496,ECUATORIANA,,,,,,,,25,HOMBRE
497,ECUATORIANA,,,,,,,,15,HOMBRE
498,ECUATORIANA,,,,,,,,18,HOMBRE
499,ECUATORIANA,,,,,,,,44,HOMBRE
500,ECUATORIANA,,,,,,,,31,HOMBRE
501,ECUATORIANA,,,,,,,,15,HOMBRE
502,ECUATORIANA,,,,,,,,46,HOMBRE
503,ECUATORIANA,,,,,,,,43,HOMBRE
504,ECUATORIANA,,,,,,,,31,HOMBRE
505,COLOMBIANA,,,,,,,,26,MUJER
506,COLOMBIANA,,,,,,,,,HOMBRE
507,ECUATORIANA,,,,,,,,65,HOMBRE
